"Pathway1","Pathway2","Corr"
"BIOCARTA_PCAF_PATHWAY","BIOCARTA_NFKB_PATHWAY",0.601928107422754
"BIOCARTA_LYMPHOCYTE_PATHWAY","BIOCARTA_MONOCYTE_PATHWAY",0.968917835848704
"BIOCARTA_LYMPHOCYTE_PATHWAY","BIOCARTA_NEUTROPHIL_PATHWAY",0.896170344948648
"BIOCARTA_LYMPHOCYTE_PATHWAY","BIOCARTA_LYM_PATHWAY",0.874160226486806
"BIOCARTA_LYMPHOCYTE_PATHWAY","BIOCARTA_LAIR_PATHWAY",0.796376672617719
"BIOCARTA_LYMPHOCYTE_PATHWAY","BIOCARTA_GRANULOCYTES_PATHWAY",0.783774904815827
"BIOCARTA_AMAN_PATHWAY","BIOCARTA_BARR_MAPK_PATHWAY",0.440449494931844
"BIOCARTA_AMAN_PATHWAY","BIOCARTA_BARRESTIN_PATHWAY",0.436143639665829
"BIOCARTA_AMAN_PATHWAY","BIOCARTA_BARRESTIN_SRC_PATHWAY",0.396025349828816
"BIOCARTA_AMAN_PATHWAY","BIOCARTA_NO2IL12_PATHWAY",0.392929082756958
"BIOCARTA_AMAN_PATHWAY","BIOCARTA_CSK_PATHWAY",0.317364681717187
"BIOCARTA_NEUTROPHIL_PATHWAY","BIOCARTA_MONOCYTE_PATHWAY",0.94521885127753
"BIOCARTA_NEUTROPHIL_PATHWAY","BIOCARTA_LYMPHOCYTE_PATHWAY",0.896170344948648
"BIOCARTA_NEUTROPHIL_PATHWAY","BIOCARTA_GRANULOCYTES_PATHWAY",0.881684713215794
"BIOCARTA_NEUTROPHIL_PATHWAY","BIOCARTA_LYM_PATHWAY",0.823172559097419
"BIOCARTA_NEUTROPHIL_PATHWAY","BIOCARTA_BLYMPHOCYTE_PATHWAY",0.771578857271097
"BIOCARTA_EFP_PATHWAY","BIOCARTA_PTC1_PATHWAY",0.544996221478908
"BIOCARTA_EFP_PATHWAY","BIOCARTA_RANMS_PATHWAY",0.503687024671701
"BIOCARTA_EFP_PATHWAY","BIOCARTA_CELLCYCLE_PATHWAY",0.467642854242095
"BIOCARTA_EFP_PATHWAY","BIOCARTA_RB_PATHWAY",0.453328612230962
