Pathway1,Pathway2,Edge_Type
BIOCARTA_BAD_PATHWAY,BIOCARTA_CREB_PATHWAY,STRING_900
BIOCARTA_BAD_PATHWAY,BIOCARTA_GLEEVEC_PATHWAY,STRING_900
BIOCARTA_BAD_PATHWAY,BIOCARTA_MPR_PATHWAY,STRING_900
BIOCARTA_BAD_PATHWAY,BIOCARTA_INSULIN_PATHWAY,STRING_900
BIOCARTA_BARD1_PATHWAY,BIOCARTA_ATRBRCA_PATHWAY,STRING_900
BIOCARTA_BARD1_PATHWAY,BIOCARTA_ATM_PATHWAY,STRING_900
BIOCARTA_BARD1_PATHWAY,BIOCARTA_G2_PATHWAY,STRING_900
BIOCARTA_BARD1_PATHWAY,BIOCARTA_PLK3_PATHWAY,STRING_900
BIOCARTA_BARD1_PATHWAY,BIOCARTA_RB_PATHWAY,STRING_900
BIOCARTA_BARR_MAPK_PATHWAY,BIOCARTA_BARRESTIN_SRC_PATHWAY,STRING_900
BIOCARTA_BARR_MAPK_PATHWAY,BIOCARTA_BARRESTIN_PATHWAY,STRING_900
BIOCARTA_BARR_MAPK_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_BARR_MAPK_PATHWAY,BIOCARTA_BIOPEPTIDES_PATHWAY,STRING_900
BIOCARTA_BARR_MAPK_PATHWAY,BIOCARTA_SPPA_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_PATHWAY,BIOCARTA_BARR_MAPK_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_PATHWAY,BIOCARTA_BARRESTIN_SRC_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_PATHWAY,BIOCARTA_CCR5_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_PATHWAY,BIOCARTA_CARDIACEGF_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_PATHWAY,BIOCARTA_BIOPEPTIDES_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_SRC_PATHWAY,BIOCARTA_BARR_MAPK_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_SRC_PATHWAY,BIOCARTA_BARRESTIN_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_SRC_PATHWAY,BIOCARTA_BIOPEPTIDES_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_SRC_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_BARRESTIN_SRC_PATHWAY,BIOCARTA_SPPA_PATHWAY,STRING_900
BIOCARTA_BBCELL_PATHWAY,BIOCARTA_ASBCELL_PATHWAY,STRING_900
BIOCARTA_BBCELL_PATHWAY,BIOCARTA_TCAPOPTOSIS_PATHWAY,STRING_900
BIOCARTA_BBCELL_PATHWAY,BIOCARTA_CTLA4_PATHWAY,STRING_900
BIOCARTA_BBCELL_PATHWAY,BIOCARTA_TH1TH2_PATHWAY,STRING_900
BIOCARTA_BBCELL_PATHWAY,BIOCARTA_TCRA_PATHWAY,STRING_900
BIOCARTA_BCELLSURVIVAL_PATHWAY,BIOCARTA_PTEN_PATHWAY,STRING_900
BIOCARTA_BCELLSURVIVAL_PATHWAY,BIOCARTA_GLEEVEC_PATHWAY,STRING_900
BIOCARTA_BCELLSURVIVAL_PATHWAY,BIOCARTA_CHEMICAL_PATHWAY,STRING_900
BIOCARTA_BCELLSURVIVAL_PATHWAY,BIOCARTA_RAS_PATHWAY,STRING_900
BIOCARTA_BCELLSURVIVAL_PATHWAY,BIOCARTA_INSULIN_PATHWAY,STRING_900
BIOCARTA_BCR_PATHWAY,BIOCARTA_FCER1_PATHWAY,STRING_900
BIOCARTA_BCR_PATHWAY,BIOCARTA_TCR_PATHWAY,STRING_900
BIOCARTA_BCR_PATHWAY,BIOCARTA_PYK2_PATHWAY,STRING_900
BIOCARTA_BCR_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_BCR_PATHWAY,BIOCARTA_EGF_PATHWAY,STRING_900
BIOCARTA_BIOPEPTIDES_PATHWAY,BIOCARTA_AT1R_PATHWAY,STRING_900
BIOCARTA_BIOPEPTIDES_PATHWAY,BIOCARTA_PYK2_PATHWAY,STRING_900
BIOCARTA_BIOPEPTIDES_PATHWAY,BIOCARTA_PDGF_PATHWAY,STRING_900
BIOCARTA_BIOPEPTIDES_PATHWAY,BIOCARTA_EGF_PATHWAY,STRING_900
BIOCARTA_BIOPEPTIDES_PATHWAY,BIOCARTA_TPO_PATHWAY,STRING_900
BIOCARTA_BLYMPHOCYTE_PATHWAY,BIOCARTA_THELPER_PATHWAY,STRING_900
BIOCARTA_BLYMPHOCYTE_PATHWAY,BIOCARTA_TCYTOTOXIC_PATHWAY,STRING_900
BIOCARTA_BLYMPHOCYTE_PATHWAY,BIOCARTA_ASBCELL_PATHWAY,STRING_900
BIOCARTA_BLYMPHOCYTE_PATHWAY,BIOCARTA_CTLA4_PATHWAY,STRING_900
BIOCARTA_BLYMPHOCYTE_PATHWAY,BIOCARTA_GRANULOCYTES_PATHWAY,STRING_900
BIOCARTA_BOTULIN_PATHWAY,BIOCARTA_CCR5_PATHWAY,STRING_900
BIOCARTA_BOTULIN_PATHWAY,BIOCARTA_PAR1_PATHWAY,STRING_900
BIOCARTA_BOTULIN_PATHWAY,BIOCARTA_CARDIACEGF_PATHWAY,STRING_900
BIOCARTA_BOTULIN_PATHWAY,BIOCARTA_CXCR4_PATHWAY,STRING_900
BIOCARTA_BOTULIN_PATHWAY,BIOCARTA_CCR3_PATHWAY,STRING_900
BIOCARTA_BTG2_PATHWAY,BIOCARTA_P53_PATHWAY,STRING_900
BIOCARTA_BTG2_PATHWAY,BIOCARTA_ATM_PATHWAY,STRING_900
BIOCARTA_BTG2_PATHWAY,BIOCARTA_G1_PATHWAY,STRING_900
BIOCARTA_BTG2_PATHWAY,BIOCARTA_P53HYPOXIA_PATHWAY,STRING_900
BIOCARTA_BTG2_PATHWAY,BIOCARTA_PELP1_PATHWAY,STRING_900
BIOCARTA_CACAM_PATHWAY,BIOCARTA_PGC1A_PATHWAY,STRING_900
BIOCARTA_CACAM_PATHWAY,BIOCARTA_CALCINEURIN_PATHWAY,STRING_900
BIOCARTA_CACAM_PATHWAY,BIOCARTA_NOS1_PATHWAY,STRING_900
BIOCARTA_CACAM_PATHWAY,BIOCARTA_MEF2D_PATHWAY,STRING_900
BIOCARTA_CACAM_PATHWAY,BIOCARTA_VIP_PATHWAY,STRING_900
BIOCARTA_CALCINEURIN_PATHWAY,BIOCARTA_MEF2D_PATHWAY,STRING_900
BIOCARTA_CALCINEURIN_PATHWAY,BIOCARTA_HDAC_PATHWAY,STRING_900
BIOCARTA_CALCINEURIN_PATHWAY,BIOCARTA_GPCR_PATHWAY,STRING_900
BIOCARTA_CALCINEURIN_PATHWAY,BIOCARTA_NFAT_PATHWAY,STRING_900
BIOCARTA_CALCINEURIN_PATHWAY,BIOCARTA_PGC1A_PATHWAY,STRING_900
