Cell	Drug
SIDM00546	5284616
SIDM00593	5284616
SIDM00595	5284616
SIDM00605	5284616
SIDM00610	5284616
SIDM00634	5284616
SIDM00636	5284616
SIDM00639	5284616
SIDM00644	5284616
SIDM00757	5284616
SIDM00775	5284616
SIDM00780	5284616
SIDM00784	5284616
SIDM00800	5284616
SIDM00823	5284616
SIDM00836	5284616
SIDM00840	5284616
SIDM00851	5284616
SIDM00862	5284616
SIDM00894	5284616
SIDM00897	5284616
SIDM00904	5284616
SIDM00914	5284616
SIDM00915	5284616
SIDM00945	5284616
SIDM00960	5284616
SIDM00979	5284616
SIDM00991	5284616
SIDM01022	5284616
SIDM01050	5284616
SIDM01061	5284616
SIDM01063	5284616
SIDM01074	5284616
SIDM01151	5284616
SIDM01158	5284616
SIDM01167	5284616
SIDM01195	5284616
SIDM01215	5284616
SIDM01222	5284616
SIDM01241	5284616
SIDM01254	5284616
SIDM01257	5284616
SIDM01266	5284616
SIDM01267	5284616
SIDM01268	5284616
SIDM01269	5284616
SIDM01270	5284616
SIDM01271	5284616
SIDM01272	5284616
SIDM01273	5284616
SIDM01274	5284616
SIDM01275	5284616
SIDM01276	5284616
SIDM01277	5284616
SIDM01278	5284616
SIDM01279	5284616
SIDM01280	5284616
SIDM01281	5284616
SIDM01282	5284616
SIDM01283	5284616
SIDM01284	5284616
SIDM01285	5284616
SIDM01286	5284616
SIDM01287	5284616
SIDM01288	5284616
SIDM01289	5284616
SIDM01290	5284616
SIDM01291	5284616
SIDM01292	5284616
SIDM01293	5284616
SIDM01294	5284616
SIDM01295	5284616
SIDM01296	5284616
SIDM01297	5284616
SIDM01298	5284616
SIDM01299	5284616
SIDM01301	5284616
SIDM01302	5284616
SIDM01303	5284616
SIDM01304	5284616
SIDM01305	5284616
SIDM01306	5284616
SIDM01307	5284616
SIDM01309	5284616
SIDM01310	5284616
SIDM01311	5284616
SIDM01312	5284616
SIDM01313	5284616
SIDM01314	5284616
SIDM01316	5284616
SIDM01318	5284616
SIDM01320	5284616
SIDM01321	5284616
SIDM01322	5284616
SIDM01323	5284616
SIDM01324	5284616
SIDM01325	5284616
SIDM01331	5284616
SIDM01332	5284616
SIDM01335	5284616
SIDM01336	5284616
SIDM01343	5284616
SIDM01347	5284616
SIDM01363	5284616
SIDM01368	5284616
SIDM01372	5284616
SIDM01377	5284616
SIDM01378	5284616
SIDM01387	5284616
SIDM01391	5284616
SIDM01393	5284616
SIDM01394	5284616
SIDM01397	5284616
SIDM01398	5284616
SIDM01409	5284616
SIDM01411	5284616
SIDM01412	5284616
SIDM01413	5284616
SIDM01432	5284616
SIDM01433	5284616
SIDM01434	5284616
SIDM01435	5284616
SIDM01436	5284616
SIDM01437	5284616
SIDM01439	5284616
SIDM01442	5284616
SIDM01443	5284616
SIDM01444	5284616
SIDM01445	5284616
SIDM01446	5284616
SIDM01447	5284616
SIDM01449	5284616
SIDM01450	5284616
SIDM01451	5284616
SIDM01454	5284616
SIDM01460	5284616
SIDM01463	5284616
SIDM01464	5284616
SIDM01469	5284616
SIDM01470	5284616
SIDM01471	5284616
SIDM01472	5284616
SIDM01473	5284616
SIDM01474	5284616
SIDM01476	5284616
SIDM01479	5284616
SIDM01480	5284616
SIDM01482	5284616
SIDM01483	5284616
SIDM01490	5284616
SIDM01491	5284616
SIDM01492	5284616
SIDM01494	5284616
SIDM01498	5284616
SIDM01502	5284616
SIDM01503	5284616
SIDM01504	5284616
SIDM01510	5284616
SIDM01511	5284616
SIDM01512	5284616
SIDM01517	5284616
SIDM01518	5284616
SIDM01519	5284616
SIDM01520	5284616
SIDM01522	5284616
SIDM01523	5284616
SIDM01525	5284616
SIDM01526	5284616
SIDM01528	5284616
SIDM01529	5284616
SIDM01530	5284616
SIDM01531	5284616
SIDM01545	5284616
SIDM01546	5284616
SIDM01551	5284616
